# ★指数の 見た目を うちの 本番の 道で 押して 突き合わせた★（2026-09-10）
#
# ★正★ golden-shisuu-mitame-2026-09-10.tsv（実Excel の 実測）
# ★押す 道★ `book.html` の `forDisplay` を ★切り出して★ 押す（★写しを 置かない★）
# ★★この 台の 数は 画面の 数では ありません★★＝★絵は ブラウザで 押す★
# ★材料は 紙から 読んだ★（41本）★手で 写して いません★
#
# ★★うちは 列の 幅を 見て いません★★＝どの 幅でも 同じ 字を 出す
#   ⇒ 実Excel は ★幅で 出方が 変わる★ので ★幅ごとに 並べる★
#
# 札	打った 字	幅	実Excel	うち	判じ
★繰り上がり★	999999999999999999999	10	1E+21	1E+21	合った
★繰り上がり★	999999999999999999999	11	1E+21	1E+21	合った
★繰り上がり★	999999999999999999999	12	1E+21	1E+21	合った
★繰り上がり★	999999999999999999999	13	1E+21	1E+21	合った
★繰り上がり★	999999999999999999999	15	1E+21	1E+21	合った
★繰り上がり★	999999999999999999999	20	1E+21	1E+21	合った
★繰り上がり★	999999999999999999999	30	1E+21	1E+21	合った
★繰り上がり★	999999999999999999999	50	1E+21	1E+21	合った
★計算の 答え★	0.30000000000000004	5	0.3	0.3	合った
★計算の 答え★	0.30000000000000004	6	0.3	0.3	合った
★計算の 答え★	0.30000000000000004	7	0.3	0.3	合った
★計算の 答え★	0.30000000000000004	8	0.3	0.3	合った
★計算の 答え★	0.30000000000000004	8.43	0.3	0.3	合った
★計算の 答え★	0.30000000000000004	9	0.3	0.3	合った
★計算の 答え★	0.30000000000000004	10	0.3	0.3	合った
★計算の 答え★	0.30000000000000004	11	0.3	0.3	合った
★計算の 答え★	0.30000000000000004	12	0.3	0.3	合った
★計算の 答え★	0.30000000000000004	13	0.3	0.3	合った
★計算の 答え★	0.30000000000000004	15	0.3	0.3	合った
★計算の 答え★	0.30000000000000004	20	0.3	0.3	合った
★計算の 答え★	0.30000000000000004	30	0.3	0.3	合った
★計算の 答え★	0.30000000000000004	50	0.3	0.3	合った
★計算の 答え★	0.3333333333333333	5	0.333	0.333333333	★違う★
★計算の 答え★	0.3333333333333333	6	0.3333	0.333333333	★違う★
★計算の 答え★	0.3333333333333333	7	0.33333	0.333333333	★違う★
★計算の 答え★	0.3333333333333333	8	0.333333	0.333333333	★違う★
★計算の 答え★	0.3333333333333333	8.43	0.333333	0.333333333	★違う★
★計算の 答え★	0.3333333333333333	9	0.3333333	0.333333333	★違う★
★計算の 答え★	0.3333333333333333	10	0.33333333	0.333333333	★違う★
★計算の 答え★	0.3333333333333333	11	0.333333333	0.333333333	合った
★計算の 答え★	0.3333333333333333	12	0.333333333	0.333333333	合った
★計算の 答え★	0.3333333333333333	13	0.333333333	0.333333333	合った
★計算の 答え★	0.3333333333333333	15	0.333333333	0.333333333	合った
★計算の 答え★	0.3333333333333333	20	0.333333333	0.333333333	合った
★計算の 答え★	0.3333333333333333	30	0.333333333	0.333333333	合った
★計算の 答え★	0.3333333333333333	50	0.333333333	0.333333333	合った
★計算の 答え★	3.3333333333333335	5	3.333	3.333333333	★違う★
★計算の 答え★	3.3333333333333335	6	3.3333	3.333333333	★違う★
★計算の 答え★	3.3333333333333335	7	3.33333	3.333333333	★違う★
★計算の 答え★	3.3333333333333335	8	3.333333	3.333333333	★違う★
★計算の 答え★	3.3333333333333335	8.43	3.333333	3.333333333	★違う★
★計算の 答え★	3.3333333333333335	9	3.3333333	3.333333333	★違う★
★計算の 答え★	3.3333333333333335	10	3.33333333	3.333333333	★違う★
★計算の 答え★	3.3333333333333335	11	3.333333333	3.333333333	合った
★計算の 答え★	3.3333333333333335	12	3.333333333	3.333333333	合った
★計算の 答え★	3.3333333333333335	13	3.333333333	3.333333333	合った
★計算の 答え★	3.3333333333333335	15	3.333333333	3.333333333	合った
★計算の 答え★	3.3333333333333335	20	3.333333333	3.333333333	合った
★計算の 答え★	3.3333333333333335	30	3.333333333	3.333333333	合った
★計算の 答え★	3.3333333333333335	50	3.333333333	3.333333333	合った
★計算の 答え★	0.10000000009313226	5	0.1	0.1	合った
★計算の 答え★	0.10000000009313226	6	0.1	0.1	合った
★計算の 答え★	0.10000000009313226	7	0.1	0.1	合った
★計算の 答え★	0.10000000009313226	8	0.1	0.1	合った
★計算の 答え★	0.10000000009313226	8.43	0.1	0.1	合った
★計算の 答え★	0.10000000009313226	9	0.1	0.1	合った
★計算の 答え★	0.10000000009313226	10	0.1	0.1	合った
★計算の 答え★	0.10000000009313226	11	0.1	0.1	合った
★計算の 答え★	0.10000000009313226	12	0.1	0.1	合った
★計算の 答え★	0.10000000009313226	13	0.1	0.1	合った
★計算の 答え★	0.10000000009313226	15	0.1	0.1	合った
★計算の 答え★	0.10000000009313226	20	0.1	0.1	合った
★計算の 答え★	0.10000000009313226	30	0.1	0.1	合った
★計算の 答え★	0.10000000009313226	50	0.1	0.1	合った
★計算の 答え★	187999.99999999997	5	####	188000	★違う★
★計算の 答え★	187999.99999999997	6	188000	188000	合った
★計算の 答え★	187999.99999999997	7	188000	188000	合った
★計算の 答え★	187999.99999999997	8	188000	188000	合った
★計算の 答え★	187999.99999999997	8.43	188000	188000	合った
★計算の 答え★	187999.99999999997	9	188000	188000	合った
★計算の 答え★	187999.99999999997	10	188000	188000	合った
★計算の 答え★	187999.99999999997	11	188000	188000	合った
★計算の 答え★	187999.99999999997	12	188000	188000	合った
★計算の 答え★	187999.99999999997	13	188000	188000	合った
★計算の 答え★	187999.99999999997	15	188000	188000	合った
★計算の 答え★	187999.99999999997	20	188000	188000	合った
★計算の 答え★	187999.99999999997	30	188000	188000	合った
★計算の 答え★	187999.99999999997	50	188000	188000	合った
★計算の 答え★	199.99999999999997	5	200	200	合った
★計算の 答え★	199.99999999999997	6	200	200	合った
★計算の 答え★	199.99999999999997	7	200	200	合った
★計算の 答え★	199.99999999999997	8	200	200	合った
★計算の 答え★	199.99999999999997	8.43	200	200	合った
★計算の 答え★	199.99999999999997	9	200	200	合った
★計算の 答え★	199.99999999999997	10	200	200	合った
★計算の 答え★	199.99999999999997	11	200	200	合った
★計算の 答え★	199.99999999999997	12	200	200	合った
★計算の 答え★	199.99999999999997	13	200	200	合った
★計算の 答え★	199.99999999999997	15	200	200	合った
★計算の 答え★	199.99999999999997	20	200	200	合った
★計算の 答え★	199.99999999999997	30	200	200	合った
★計算の 答え★	199.99999999999997	50	200	200	合った
★計算の 答え★	26718.499999999996	5	26719	26718.5	★違う★
★計算の 答え★	26718.499999999996	6	26719	26718.5	★違う★
★計算の 答え★	26718.499999999996	7	26718.5	26718.5	合った
★計算の 答え★	26718.499999999996	8	26718.5	26718.5	合った
★計算の 答え★	26718.499999999996	8.43	26718.5	26718.5	合った
★計算の 答え★	26718.499999999996	9	26718.5	26718.5	合った
★計算の 答え★	26718.499999999996	10	26718.5	26718.5	合った
★計算の 答え★	26718.499999999996	11	26718.5	26718.5	合った
★計算の 答え★	26718.499999999996	12	26718.5	26718.5	合った
★計算の 答え★	26718.499999999996	13	26718.5	26718.5	合った
★計算の 答え★	26718.499999999996	15	26718.5	26718.5	合った
★計算の 答え★	26718.499999999996	20	26718.5	26718.5	合った
★計算の 答え★	26718.499999999996	30	26718.5	26718.5	合った
★計算の 答え★	26718.499999999996	50	26718.5	26718.5	合った
★計算の 答え★	20.00000000000003	5	20	20	合った
★計算の 答え★	20.00000000000003	6	20	20	合った
★計算の 答え★	20.00000000000003	7	20	20	合った
★計算の 答え★	20.00000000000003	8	20	20	合った
★計算の 答え★	20.00000000000003	8.43	20	20	合った
★計算の 答え★	20.00000000000003	9	20	20	合った
★計算の 答え★	20.00000000000003	10	20	20	合った
★計算の 答え★	20.00000000000003	11	20	20	合った
★計算の 答え★	20.00000000000003	12	20	20	合った
★計算の 答え★	20.00000000000003	13	20	20	合った
★計算の 答え★	20.00000000000003	15	20	20	合った
★計算の 答え★	20.00000000000003	20	20	20	合った
★計算の 答え★	20.00000000000003	30	20	20	合った
★計算の 答え★	20.00000000000003	50	20	20	合った
#
# ★★締め★★ 全 574本
#   合った ……………… 473
#   ★違う★ …………… 101
#   ―― 足すと 574 ／ 全 574本
